category	term	goseq_p	goseq_padj	hyper_p	hyper_padj
GO:0001819	positive regulation of cytokine production	8.430037178915481e-6	9.315411764303149e-4	5.562612185024363e-6	5.62363909409287e-4
GO:0042269	regulation of natural killer cell mediated cytotoxicity	8.48783137572289e-6	9.330425469583714e-4	3.961803797272185e-6	4.208251298190734e-4
GO:0001905	activation of membrane attack complex	8.738753934246019e-6	9.556483965606035e-4	9.637104151032507e-6	9.099189971621934e-4
GO:0071621	granulocyte chemotaxis	9.000055046757224e-6	9.74129034958246e-4	1.0690777300909167e-6	1.279046953284181e-4
GO:0006909	phagocytosis	9.13635598385717e-6	9.838363744657625e-4	8.672906663138336e-6	8.408644943335329e-4
GO:0007154	cell communication	9.260683611562663e-6	9.921623771859977e-4	9.680843122386502e-5	0.007135176517652827
GO:0002707	negative regulation of lymphocyte mediated immunity	9.603920195885223e-6	0.0010237390891634016	8.295270221334906e-6	8.096856325500274e-4
GO:0019730	antimicrobial humoral response	1.015497489131807e-5	0.0010770396987746693	5.3327829458203453e-8	8.754248004013716e-6
GO:0030097	hemopoiesis	1.2172575165444462e-5	0.0012781809524471184	2.129334643921976e-5	0.0019105818798817928
GO:0050854	regulation of antigen receptor-mediated signaling pathway	1.3025378421412929e-5	0.0013549395246369746	1.4973615580792585e-5	0.0013604330231454698
GO:0097530	granulocyte migration	1.3096165214912482e-5	0.0013549395246369746	1.7150387196021179e-6	1.9980201083364673e-4
GO:1990266	neutrophil migration	1.385232450652003e-5	0.0014261812733395694	3.101008603190402e-6	3.419631319212866e-4
GO:0097529	myeloid leukocyte migration	1.7536369834109968e-5	0.0017967117559161405	3.4616430321325758e-6	3.7884011547111506e-4
GO:0002784	regulation of antimicrobial peptide production	1.9167069157618103e-5	0.0019355988595248215	1.1573751491239396e-5	0.0010786736389835118
GO:0002786	regulation of antibacterial peptide production	1.9167069157618103e-5	0.0019355988595248215	1.1573751491239396e-5	0.0010786736389835118
GO:0023052	signaling	1.9769216747456114e-5	0.0019869004222467083	1.808250042360227e-4	0.012325646881764386
GO:0002695	negative regulation of leukocyte activation	2.0439002708248656e-5	0.0020444814746933466	1.3864651738037614e-5	0.001267650373466401
GO:0040012	regulation of locomotion	2.6022035515568645e-5	0.002590665479205622	7.329520288434765e-5	0.005754470113409164
GO:0018958	phenol-containing compound metabolic process	2.8662035547934548e-5	0.0028309659557220167	3.779259633122295e-5	0.0032497133726240874
GO:0042127	regulation of cell population proliferation	2.870400428904158e-5	0.0028309659557220167	3.9444362820534166e-5	0.003351842737090803
GO:0032102	negative regulation of response to external stimulus	2.8844782494312534e-5	0.0028316185084881875	3.892188428164722e-5	0.0033270150315542943
GO:0007166	cell surface receptor signaling pathway	3.119260855218528e-5	0.0030338764797346665	1.470874531920773e-4	0.010467119944890387
GO:0160257	complement activation, GZMK pathway	3.590039857727382e-5	0.0034757514328988127	3.248571116785203e-5	0.0028615157532365268
GO:0002228	natural killer cell mediated immunity	3.701294767910269e-5	0.0035671017064618326	1.262206203732681e-5	0.0011688353089180968
GO:0006957	complement activation, alternative pathway	4.0006797135791744e-5	0.003838106637945548	4.699692004637274e-5	0.003924378653120813
GO:0050777	negative regulation of immune response	4.314140083964339e-5	0.0041201013851652184	4.0173472316787565e-5	0.0033938361467152818
GO:2000026	regulation of multicellular organismal development	4.380151864487199e-5	0.004164301137471478	1.6523285294320743e-4	0.011643677042036948
GO:0098657	import into cell	4.5543397871907154e-5	0.004310488589616468	2.2316717508964187e-4	0.014456829647286843
GO:0007162	negative regulation of cell adhesion	4.844509579507733e-5	0.004564652642191528	8.143860724577066e-5	0.006224667303028587
GO:0050866	negative regulation of cell activation	4.994477347997474e-5	0.0046850417291926525	3.6809453031499304e-5	0.003184127895167898
GO:0002285	lymphocyte activation involved in immune response	5.047938989970152e-5	0.0047040179403848225	5.764757593316827e-5	0.004652384815254463
GO:0065007	biological regulation	5.179614413817761e-5	0.004794778149913932	0.0012509664569867072	0.06023820479209991
GO:0006950	response to stress	5.3609491685314406e-5	0.004919486658740199	5.327662980184487e-5	0.004372921557485517
GO:0051250	negative regulation of lymphocyte activation	5.599538764968715e-5	0.005094132119544383	3.323227670403499e-5	0.0029095361773726638
GO:0045682	regulation of epidermis development	6.047891110781985e-5	0.00545499101641729	5.1364663468753344e-5	0.004240079591254919
