category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:0001042	0.9999999999829716	0.8188016765918967	0	4	RNA polymerase I core binding	MF	1
GO:0006231	0.9999999999829887	0.7878810052721803	0	4	dTMP biosynthetic process	BP	1
GO:0009177	0.9999999999829887	0.7878810052721803	0	4	pyrimidine deoxyribonucleoside monophosphate biosynthetic process	BP	1
GO:0030112	0.9999999999829925	0.9538278598628825	0	1	glycocalyx	CC	1
GO:0120234	0.9999999999829925	0.9538278598628825	0	1	stereocilium coat	CC	1
GO:0008614	0.9999999999830085	0.87609096054243	0	2	pyridoxine metabolic process	BP	1
GO:0008615	0.9999999999830085	0.87609096054243	0	2	pyridoxine biosynthetic process	BP	1
GO:2001293	0.9999999999830254	0.6727038745201602	0	6	malonyl-CoA metabolic process	BP	1
GO:0070287	0.9999999999830328	0.9499873561625616	0	1	ferritin receptor activity	MF	1
GO:0000472	0.9999999999830421	0.8046900969553172	0	4	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP	1
GO:0000967	0.9999999999830421	0.8046900969553172	0	4	rRNA 5'-end processing	BP	1
GO:1904533	0.9999999999830643	0.8108641441737341	0	4	regulation of telomeric loop disassembly	BP	1
GO:0008352	0.999999999983078	0.795846992851515	0	4	katanin complex	CC	1
GO:0072669	0.999999999983111	0.7197131739856136	0	6	tRNA-splicing ligase complex	CC	1
GO:0034466	0.9999999999831198	0.8531025898400443	0	2	chromaffin granule lumen	CC	1
GO:0072347	0.9999999999831274	0.6964280665775266	0	6	response to anesthetic	BP	1
GO:0106156	0.9999999999831386	0.9472739122193561	0	1	peptidyl-lysine 4-dioxygenase activity	MF	1
GO:0014038	0.999999999983148	0.794665413062176	0	4	regulation of Schwann cell differentiation	BP	1
GO:0035608	0.9999999999831778	0.7643384134090505	0	5	protein deglutamylation	BP	1
GO:0035610	0.9999999999831778	0.7643384134090505	0	5	protein side chain deglutamylation	BP	1
GO:0004972	0.9999999999831793	0.7849847464697814	0	5	NMDA glutamate receptor activity	MF	1
GO:0060668	0.9999999999832352	0.9471480624827161	0	1	regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling	BP	1
GO:0006498	0.9999999999832466	0.7242544301025199	0	6	N-terminal protein lipidation	BP	1
GO:1904031	0.999999999983259	0.7690479367437968	0	4	positive regulation of cyclin-dependent protein kinase activity	BP	1
GO:0160185	0.9999999999832823	0.8384645970058402	0	3	phospholipase C activator activity	MF	1
GO:0071505	0.9999999999832997	0.890614990603821	0	2	response to mycophenolic acid	BP	1
GO:0071506	0.9999999999832997	0.890614990603821	0	2	cellular response to mycophenolic acid	BP	1
GO:0002072	0.9999999999833409	0.7291125220598945	0	6	optic cup morphogenesis involved in camera-type eye development	BP	1
GO:0141039	0.9999999999833444	0.8120141039897384	0	4	phosphatidylinositol 3-kinase inhibitor activity	MF	1
GO:0051790	0.9999999999833986	0.810720542447322	0	4	short-chain fatty acid biosynthetic process	BP	1
GO:0004307	0.9999999999834042	0.8996526632158733	0	2	ethanolaminephosphotransferase activity	MF	1
GO:1905669	0.9999999999834187	0.8665051390806832	0	2	TORC1 complex assembly	BP	1
GO:0086075	0.9999999999834369	0.8090114709065136	0	4	gap junction channel activity involved in cardiac conduction electrical coupling	MF	1
GO:0030899	0.9999999999834935	0.9001397089567721	0	2	calcium-dependent ATPase activity	MF	1
GO:0034753	0.9999999999835009	0.9077260750384316	0	2	nuclear aryl hydrocarbon receptor complex	CC	1
GO:0045924	0.9999999999835133	0.7717873395869177	0	5	regulation of female receptivity	BP	1
GO:0060180	0.9999999999835133	0.7717873395869177	0	5	female mating behavior	BP	1
GO:0038156	0.9999999999835506	0.691705914153175	0	6	interleukin-3-mediated signaling pathway	BP	1
